player_id,primary_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
360075,3,0.0,6.135664350925984e-237,0.0,1.0,0.0,0.0,0.0,2.1267041846348415e-91,0.0,0.0
775323,3,0.0,2.5484910772520823e-211,0.0,1.0,0.0,0.0,0.0,2.0079312750168011e-75,0.0,0.0
813399,6,0.0,0.0,5.800734038051705e-27,0.0,1.841336575399571e-94,7.275522077206684e-296,1.0,0.0,3.627779483252663e-110,1.855982414061568e-34
816485,1,0.0,1.0,0.0,1.1419325933154338e-65,0.0,9.545347181207829e-37,0.0,1.2683520787885302e-52,2.2730793534868623e-160,0.0
971810,3,0.0,3.919643685356212e-86,0.0,0.9999988754696715,0.0,0.0,0.0,1.1245303315939363e-06,0.0,0.0
1002274,2,0.0,5.96273071e-315,1.0,9.744950808545066e-279,8.532547972372429e-140,7.280402237847615e-169,1.513534487317461e-42,0.0,2.4614097885889966e-40,2.355514885912673e-78
27197,8,0.0,1.2910376060634305e-130,5.033582040482127e-66,3.1939693096755864e-179,2.673543300993708e-235,5.7001140738510435e-31,2.7792169142695833e-243,1.267954076958e-311,1.0,1.5543893563827438e-193
333592,7,0.0,9.813725613670577e-15,0.0,2.0288221875224532e-27,0.0,5.5688228894776356e-154,0.0,0.9999999999999929,0.0,0.0
815872,0,1.0,0.0,0.0,0.0,1.670944290969336e-62,0.0,0.0,0.0,0.0,0.0
966404,5,0.0,3.0323857238011954e-64,5.0154797771671465e-157,1.3718469050221477e-134,1.7643240698682433e-295,1.0,0.0,2.821834556105635e-202,3.3514604620156544e-21,1.862418278041363e-275
162450,7,0.0,8.491497834424443e-12,0.0,9.378068887704126e-28,0.0,7.200331222550992e-146,0.0,0.999999999991509,0.0,0.0
333217,5,0.0,1.2734734343900402e-71,4.771966716622586e-135,6.346385485868369e-139,1.0808945926591657e-279,0.9999999999923546,0.0,1.0190880843714844e-217,7.645800500794788e-12,9.35397935639047e-255
334077,0,1.0,0.0,0.0,0.0,4.375503726468645e-61,0.0,0.0,0.0,0.0,0.0
43193,5,0.0,9.822086093326459e-52,6.235821923086926e-195,2.2017953279667906e-125,1.938467e-318,1.0,0.0,5.786488101737286e-177,2.0433095232064847e-36,9.357343163084919e-307
166419,5,0.0,8.602452272002486e-52,2.6861188212568086e-197,1.4985174841152465e-125,6.247065e-318,1.0,0.0,5.857691626030032e-177,1.865754377905701e-36,1.0808345410889572e-305
